gene name,chromosome,start,end
ALDH1B1,9,38392664,38398665
ALDH1A3,15,100879692,100916626
ALDH3B1,11,68008547,68029282
ALDH3B2,11,67662162,67681224
ALDH9A1,1,165662212,165698663
ALDH3A2,17,19648146,19677596
ABCD2,12,39530965,39651333
ALDOA,16,30053090,30070420
ALDOAP2,10,125666680,125668056
ALDOB,9,101420560,101435780
ALDOC,17,28573115,28576963
AKR1B1,7,134442350,134459239
AKR1B1P2,3,74135927,74137588
ALK,2,29190992,29921611
ALOX12,17,6993791,7010736
ALOX5,10,45374166,45446121
ALOX5AP,13,30713478,30764428
ALOX12B,17,8072636,8087703
ALOX12P1,17,30529686,30541840
ALOX12P2,17,6853576,6900349
ALOX15,17,4630919,4641673
ALOX15B,17,8039040,8049134
ALPI,2,232456112,232460745
ALPL,1,21508982,21578412
ALPP,2,232378534,232382889
ALPG,2,232406842,232410714
ALX3,1,110060375,110070700
AMBN,4,70592258,70607288
AMBP,9,114060127,114078472
AMD1,6,110814621,110895713
AMD1P2,23,155828096,155829827
AMELX,23,11293413,11304149
AMELY,24,6865918,6874056
AMFR,16,56361452,56425538
AMH,19,2249279,2252073
AMHR2,12,53423855,53431672
AMPD1,1,114673098,114695618
AMPD2,1,109619813,109632055
AMPD3,11,10450321,10507579
AMPH,7,38383694,38631567
BIN1,2,127048023,127107327
AMT,3,49416778,49422678
AMY1A,1,103655519,103664551
AMY1B,1,103687415,103696452
AMY1C,1,103745430,103758692
AMY2A,1,103617332,103625780
AMY2B,1,103554644,103579534
AMYP1,1,103713720,103719905
ANG,14,20684177,20694186
ANGPT1,8,107249482,107498055
ANGPT2,8,6499651,6563420
ANK1,8,41653225,41896762
ANK2,4,112706018,113383740
ANK3,10,60026298,60733526
ANPEP,15,89784895,89814852
SLC25A4,4,185143263,185150384
SLC25A5,23,119468400,119471396
SLC25A6,23,1386152,1392146
ANXA1,9,73151731,73170393
ANXA2,15,60347151,60398025
ANXA2P1,4,153307469,153308811
ANXA2P2,9,33624225,33625534
ANXA2P3,10,64825528,64826877
ANXA3,4,78551588,78610451
ANXA4,2,69643805,69826477
ANXA5,4,121667997,121696994
ANXA6,5,151100706,151157882
ANXA7,10,73375101,73414085
ANXA11,10,80153953,80205677
ANXA13,8,123680794,123737426
AOAH,7,36509313,36724549
AOC2,17,42844583,42850712
AOX1,2,200585952,200677064
APAF1,12,98645141,98735433
NUDT2,9,34329506,34343713
APOF,12,56360571,56362799
APBA1,9,69427532,69673012
APBA2,15,28885479,29118315
APBB1,11,6395124,6419830
APBB2,4,40810027,41216714
APC,5,112707505,112846239
APCS,1,159587826,159588871
AIRE,21,44285838,44298219
APEH,3,49673102,49683508
APEX1,14,20455131,20457772
BIRC2,11,102347182,102378670
BIRC3,11,102317373,102339403
XIAP,23,123859812,123913979
BIRC5,17,78214196,78225635
APLP1,19,35868445,35879797
APLP2,11,130069821,130144811
APOA1,11,116835751,116837950
APOA2,1,161222293,161223628
APOA4,11,116820702,116823295
APOB,2,21001429,21044073
APOBEC1,12,7649400,7670599
APOC1,19,44914247,44919349
APOC1P1,19,44926803,44931386
AQP8,16,25216917,25228932
APOC2,19,44945982,44949565
APOC3,11,116829892,116833074
APOC4,19,44942238,44945496
APOD,3,195568702,195584205
APOE,19,44905749,44909395
APOH,17,66212029,66229438
APP,21,25880550,26171128
APRT,16,88809469,88811934
KLK3,19,50854915,50860764
FAS,10,88968429,89017061
FASLG,1,172659008,172666873
SHROOM2,23,9786406,9949443
AQP1,7,30911694,30925517
AQP2,12,49950741,49958881
AQP3,9,33441154,33447633
AQP4,18,26852038,26865803
AQP5,12,49961496,49965682
AQP6,12,49972837,49977139
AQP7,9,33383135,33402682
AQP9,15,58138169,58185911
AR,23,67544623,67730619
ABCC6,16,16149565,16223617
ARAF,23,47561100,47571921
ARCN1,11,118572387,118603033
TRIM23,5,65589680,65624360
AREG,4,74445098,74455009
ARF1,1,228082660,228099212
ARF3,12,48930252,48957526
ARF4,3,57571363,57597488
ARL4D,17,43398985,43401136
ARF4P1,9,134078631,134079747
ARF5,7,127588352,127591705
ARF6,14,49893018,49897054
ARG1,6,131573159,131584332
ARG2,14,67619862,67651720
RHOA,3,49359136,49412097
RHOB,2,20447071,20449445
RHOC,1,112701127,112707403
RND3,2,150468193,150487695
RHOG,11,3826978,3840983
ARHGAP1,11,46677075,46700665
ARHGAP4,23,153907376,153926260
ARHGAP5,14,32072588,32159728
ARHGAP6,23,11137543,11665701
ARHGDIA,17,81867719,81871406
ARHGDIB,12,14942015,14961770
ARHGDIG,16,280606,283003
RHOH,4,40191011,40244764
ARL1,12,101393120,101407820
PHOX2A,11,72239077,72244176
ARL2,11,65014113,65022185
ARL3,10,102673727,102714433
ARNT,1,150809705,150876768
ARNTL,11,13276552,13387268
ARR3,23,70268335,70281840
ARRB1,11,75260122,75351831
ARRB2,17,4710494,4721500
ARSA,22,50622754,50628173
ARSB,5,78777209,78986087
STS,23,7147252,7354643
ARSD,23,2903970,2929375
ARSE,23,2934632,2968310
ARSF,23,3040234,3112729
ART1,11,3645110,3665516
ART2P,11,72520951,72521640
ART3,4,76011168,76112802
ART4,12,14825569,14843533
ARVCF,22,19966727,20016802
ASAH1,8,18056299,18084998
ASCL1,12,102957674,102960516
ASCL2,11,2268498,2270952
ASGR1,17,7173431,7179564
ASGR2,17,7101322,7115538
ASIP,20,34186493,34269344
ASL,7,66075789,66093343
ASLP1,22,23648788,23653359
ASMT,23,1595455,1643081
ASNA1,19,12737459,12748324
ASNS,7,97852117,97928562
ASNSP2,21,8853355,8853510
ASPA,17,3473646,3502534
ASPH,8,61500556,61714640
ASS1,9,130444707,130501274
ASS1P2,2,38810215,38811756
ASS1P4,23,3367045,3368609
ASS1P5,23,115664789,115666339
ASS1P6,24,11922285,11923873
ASS1P8,4,148526260,148527154
ASS1P9,5,53859064,53860632
ASS1P10,5,145228711,145230285
ASS1P14,12,32985738,32987301
ASTN1,1,176855117,177164904
SERPINC1,1,173903804,173917378
ZFHX3,16,72782885,73058635
ATF1,12,50763682,50821162
ATF3,1,212565334,212620777
ATF4,22,39514494,39522686
ATF4P1,23,154622340,154623780
ATIC,2,215311956,215359745
ATM,11,108222484,108369099
RERE,1,8352404,8826226
ATOH1,4,93828927,93829991
ATOX1,5,151742822,151758649
ATP1A1,1,116372986,116410259
ATP1A2,1,160115730,160143591
ATP1A3,19,41966582,41994276
ATP12A,13,24680411,24711785
ATP1A4,1,160151562,160186977
ATP1B1,1,169106709,169132722
ATP1B2,17,7646627,7657771
ATP1B3,3,141876592,141926548
ATP1B3P1,2,60734390,60735927
ATP1B1P1,4,42029085,42031265
FXYD2,11,117820075,117828092
ATP2A1,16,28878488,28904509
ATP2A2,12,110281227,110351093
ATP2A3,17,3923869,3964464
ATP2B1,12,89588049,89709353
ATP2B2,3,10324023,10707962
ATP2B3,23,153517677,153582929
ATP2B4,1,203626787,203744081
ATP4A,19,35550193,35563658
ATP4B,13,113648804,113658198
ATP5F1A,18,46084144,46104233
ALDH7A1,5,126541841,126595390
ATP5F1AP2,2,155269631,155270037
ATP5F1B,12,56638175,56646068
ATP5F1BP1,2,98206121,98207904
ATP5F1C,10,7788104,7807801
ATP5F1D,19,1241750,1244825
ATP5F1E,20,59028678,59032367
ATP5PB,1,111449121,111461918
ATP5MC1,17,48892786,48895871
ATP5MC2,12,53665160,53677546
ATP5MC3,2,175176258,175181762
ATP5MC2P1,1,209267650,209268283
ATP5ME,4,672436,674338
ATP5PF,21,25724480,25735654
ATP6V1A,3,113747019,113812058
ATP6V1B1,2,70935868,70965431
ATP6V1B2,8,20197193,20226852
ATP6V0C,16,2513726,2520223
ATP6V1C1,8,103021020,103073057
ATP6V1E1,22,17592136,17628822
ATP6V0B,1,43974648,43978300
ATP6V1G2,6,31544451,31546848
ATP6V0A1,17,42458844,42522579
ATP6AP1,23,154428632,154436517
ATP7A,23,77910656,78050395
ATP5PO,21,33903453,33915854
ATP7B,13,51932669,52012130
ALDH7A1P1,5,77290184,77291997
ALDH7A1P2,2,172893763,172894383
ALDH7A1P3,7,150541564,150542126
ALDH7A1P4,10,62740990,62741394
ATR,3,142449235,142578826
ATRX,23,77504878,77786269
KIF1A,2,240713764,240820308
AUH,9,91213815,91361969
AUP1,2,74526648,74529897
AVP,20,3082556,3093521
AVPR1A,12,63142759,63152810
AVPR1B,1,206106936,206117050
AVPR2,23,153902531,153907166
AXL,19,41219199,41261767
AZGP1,7,99966727,99976112
AZU1,19,827826,832018
B2M,15,44711487,44718159
BAAT,9,101360417,101385005
BACH1,21,29298795,29361896
BAD,11,64269828,64284704
BAG1,9,33252471,33264761
ADGRB1,8,142449703,142545009
ADGRB2,1,31727105,31764063
ADGRB3,6,68635283,69389511
BAK1,6,33572546,33580296
NKX3-2,4,13540830,13544490
BARD1,2,214725645,214809711
BAX,19,48954825,48961798
BBS1,11,66510648,66533613
BBS2,16,56470403,56520096
BBS4,15,72686179,72738476
BCAT1,12,24810024,24949459
BCAT2,19,48795062,48811063
BCHE,3,165772903,165837472
BCKDHA,19,41397789,41425005
BCKDHB,6,80106610,80469088
CCND1,11,69641105,69654474
BCL2,18,63123346,63320280
BCL2A1,15,79960890,79971301
BCL2L1,20,31664452,31723999
BCL2L2,14,23306762,23311759
BAK1P1,20,32688930,32691054
BAK1P2,11,130545543,130547654
BCL3,19,44742620,44760044
BCL6,3,187721377,187745725
BCL7A,12,122021886,122062044
NBEAP1,15,20669468,20756151
BCL9,1,147541501,147626219
TNFRSF17,16,11965107,11968068
HCN2,19,589893,617159
OPN1SW,7,128772489,128775790
BCR,22,23180365,23318037
BCRP4,22,22630065,22636584
BCS1L,2,218659656,218663443
BCYRN1,2,47335315,47335514
BCYRN1P1,23,139720579,139720775
BDH1,3,197509783,197573323
BDKRB1,14,96256210,96264763
BDKRB2,14,96204798,96244329
BDNF,11,27654893,27722058
CFB,6,31945944,31952084
BFSP1,20,17493905,17569220
BGLAP,1,156241962,156243332
BGN,23,153494889,153509554
CEACAM1,19,42507306,42528509
BHMT,5,79111781,79132290
BICD1,12,32106773,32383637
BID,22,17734140,17774665
BIK,22,43110748,43129712
PRDM1,6,106046729,106109939
BLK,8,11493991,11564604
BLM,15,90717327,90815462
BLMH,17,30248195,30292166
CXCR5,11,118883766,118896271
BLVRA,7,43758122,43807342
BLVRB,19,40447784,40465818
BNC1,15,83255884,83284716
BMI1,10,22321210,22331485
BMP1,8,22165140,22212326
BMP2,20,6768098,6780280
BMP3,4,81030778,81057625
BMP4,14,53949736,53956891
BMP5,6,55753653,55875590
BMP6,6,7726099,7881728
BMP7,20,57168753,57266651
BMP8B,1,39757182,39788861
BMPR1A,10,86755786,86927969
BMPR1B,4,94757977,95158453
BMPR2,2,202376310,202567751
BMX,23,15500777,15556529
POLR3D,8,22245104,22251167
BNIP1,5,173144442,173164387
BNIP2,15,59659146,59689534
BNIP3,10,131967683,131982013
BNIP3L,8,26383007,26413129
BOK,2,241558731,241574138
DST,6,56457987,56954671
FOXL2,3,138944224,138947140
BPGM,7,134646779,134679816
BPHL,6,3118376,3153599
BPI,20,38304150,38337505
BRCA1,17,43044295,43125483
BRAF,7,140719327,140924928
BRCA2,13,32315480,32399672
BRDT,1,91949371,92014428
ZFP36L1,14,68787655,68796243
ZFP36L2,2,43222402,43226606
BRS3,23,136487966,136492439
BSG,19,571277,583493
BST1,4,15701866,15774178
BST2,19,17402939,17405648
BTC,4,74744759,74794718
BTD,3,15601352,15653711
KLF9,9,70384597,70414657
KLF5,13,73054976,73077542
BTF3,5,73498425,73505623
BTF3P11,13,76928451,76929090
BTF3P1,8,51721256,51723046
BTG1,12,92140278,92145897
BTK,23,101349447,101390796
BTN1A1,6,26499290,26510425
BUB1,2,110637698,110678107
BUB1B,15,40161009,40221136
BYSL,6,41921227,41933046
TSPO,22,43151514,43163242
C1QBP,17,5432779,5439151
SERPING1,11,57597554,57614853
ERC2-IT1,3,55657206,55659469
C1QA,1,22636506,22639682
C1QB,1,22652981,22661637
C1QC,1,22643617,22648111
C1R,12,7080209,7092607
C1S,12,7060661,7071032
C2,6,31897785,31945674
C3,19,6677835,6720682
C3AR1,12,8056844,8066471
C4A,6,31982057,32002680
C4B,6,32014795,32035418
C4BPA,1,207104232,207144972
C4BPAP2,1,207225798,207229202
C4BPB,1,207088795,207099993
CAPN5,11,77066945,77126155
C5,9,120952335,121075174
C5AR1,19,47309847,47322070
C6,5,41142146,41261486
C7,5,40909252,40984640
C8A,1,56854770,56918221
C8B,1,56929210,56974383
C8G,9,136944870,136946981
OSGIN2,8,89901868,89935614
C9,5,39284144,39364560
VPS51,11,65096115,65111860
MRPL49,11,65122183,65127369
ZNHIT2,11,65116403,65117738
MPPED2,11,30384493,30586995
MYRF,11,61752617,61788518
TMEM258,11,61789130,61792613
DAGLA,11,61680184,61747002
GAS8-AS1,16,90028908,90029901
FMNL1,17,45220268,45247322
LDLRAD4,18,13217604,13652754
PTTG1IP,21,44849585,44873903
CFAP410,21,44328944,44339417
TMEM50B,21,33432486,33480009
MPPED1,22,43412014,43507848
CA1,8,85328229,85378154
CA2,8,85463902,85481492
CA3,8,85438827,85449040
CA4,17,60149936,60179021
CA5A,16,87888013,87936575
CA5AP1,16,29618675,29636331
CA6,1,8945834,8975092
CA7,16,66844379,66854149
CA8,8,60185420,60281423
CA9,9,35673809,35681159
CA11,19,48637942,48646312
CA12,15,63321378,63382166
CACNA1A,19,13206442,13506460
CACNA1B,9,137877789,138124624
CACNA1C,12,1969552,2697949
CACNA1D,3,53495049,53813151
CACNA1E,1,181317712,181808084
CACNA1F,23,49205063,49233404
CACNA1S,1,201039509,201112566
DDR1,6,30880958,30900156
CACNA2D1,7,81946444,82443806
CACNB1,17,39173456,39197703
CACNB2,10,18140560,18545881
CACNB3,12,48814432,48828943
CACNB4,2,151832771,152099167
CACNG1,17,67044536,67056797
SLC25A20,3,48856923,48898993
SLC25A20P1,6,52246371,52248104
CAD,2,27217390,27243792
CALB1,8,90058608,90082881
CALB2,16,71358713,71390438
S100G,23,16649787,16654674
CALCA,11,14966668,14972361
CALCB,11,15073600,15078631
CALCP,11,14907499,14907999
CALCR,7,93424487,93574730
CALD1,7,134779413,134970729
CALM1,14,90396983,90408275
CALM1P1,23,95499608,95500112
CALM1P2,7,55259682,55260294
CALM2,2,47160082,47176936
CALM2P2,10,70163652,70164741
CALM2P3,13,41170588,41171229
CALM3,19,46601074,46610782
CALML3,10,5524889,5526268
CALR,19,12938600,12944490
CALU,7,128739292,128773423
CAMK4,5,111223653,111498503
CAMK2A,5,150219491,150289840
CAMK2B,7,44217150,44326167
CAMK2D,4,113451032,113762177
CAMK2G,10,73812501,73874591
CAMLG,5,134738480,134752160
CAMP,3,48223347,48225491
CANX,5,179678646,179731641
CAPG,2,85394748,85418467
CAPN1,11,65181215,65212006
CAPN2,1,223701593,223776018
CAPN3,15,42359500,42412317
CAPNS1,19,36139926,36150353
CAPN6,23,111245099,111270546
CAPS,19,5913644,5916211
CAPZA1,1,112619453,112671619
CAPZA2,7,116862509,116919261
CAST,5,96662037,96774683
CAPZB,1,19338773,19485641
CARS,11,3000922,3057451
CASP1,11,105025508,105035591
CASP2,7,143288215,143307696
CASP3,4,184627696,184649475
CASP4,11,104942866,104968598
CASP5,11,104994235,105023902
CASP6,4,109688629,109703473
CASP7,10,113679162,113730909
CASP8,2,201233443,201287711
CASP9,1,15491401,15524912
CASP10,2,201182881,201229406
CASQ1,1,160190495,160201886
CASQ2,1,115700003,115768805
CASR,3,122183683,122286503
CAT,11,34438925,34472060
CAV1,7,116524785,116561185
CAV2,7,116499601,116508541
CAV3,3,8733800,8746765
RUNX2,6,45328317,45551082
RUNX1,21,34787801,35049334
RUNX1T1,8,91954967,92103451
CBFA2T3,16,88874855,88977149
RUNX3,1,24899511,24965158
CBFB,16,67029147,67101058
SERPINA6,14,94304248,94323351
CBL,11,119206276,119308149
CBLB,3,105655461,105869552
CBLN1,16,49277917,49281831
SERPINH1,11,75562056,75572804
CBR1,21,36069924,36073177
CBR3,21,36134901,36146562
CBS,21,43053190,43076861
CCIN,9,36169392,36171334
KYAT1,9,128833113,128882558
CCK,3,42257824,42266195
CCKAR,4,26481396,26490420
CCKBR,11,6259674,6272127
KRIT1,7,92198969,92246100
CCNA2,4,121816444,121824001
CCNB1,5,69167010,69178245
CCNC,6,99542387,99568814
CCND2,12,4273736,4305356
CCND2P1,11,63242885,63244237
CCND3,6,41934933,42048894
CCND3P1,10,30403194,30403821
CCNE1,19,29811994,29824317
CCNF,16,2429391,2458858
CCNG1,5,163437571,163445016
CCNG2,4,77157204,77170060
CCNH,5,87311480,87413033
CCNT1,12,48688458,48716998
CCNT2,2,134918810,134959345
CCT6A,7,56051685,56063989
CD1A,1,158248329,158258269
CD1B,1,158285406,158331531
CD1C,1,158289773,158294774
CD1D,1,158178038,158186427
CD1E,1,158353123,158357554
CD2,1,116754430,116769229
CD3D,11,118339074,118342744
CD3E,11,118304580,118316175
CD3G,11,118344344,118353782
CD247,1,167430640,167518610
CD4,12,6789472,6820810
CD5,11,61093963,61127852
CD5L,1,157827071,157841844
CD6,11,60971641,61020377
CD7,17,82314865,82320829
CD8A,2,86784605,86808396
CD8B,2,86815337,86861924
CD8B2,2,106487335,106511095
CD9,12,6199707,6238271
CD14,5,140631728,140633701
CD19,16,28931735,28939347
MS4A1,11,60455809,60470752
MS4A3,11,60056628,60071116
CD22,19,35329166,35347361
CD24P1,1,15609982,15614946
CD24P2,15,56071339,56074088
CD24P3,20,31510842,31511437
CD24P4,24,18990640,18992818
CD27,12,6444867,6451718
CD28,2,203706475,203739756
CD80,3,119523909,119559634
CD86,3,122055362,122121143
TNFRSF8,1,12063317,12144213
TNFSF8,9,114893343,114930674
CD33,19,51211054,51240019
SIGLEC6,19,51517819,51531856
CD34,1,207886538,207911338
CD36,7,80602188,80679277
SCARB1,12,124777628,124863973
SCARB2,4,76158737,76213899
CD37,19,49334961,49340608
CD38,4,15778265,15853243
ENTPD1,10,95710901,95877266
ENTPD2,9,137048098,137054051
ENTPD6,20,25195670,25228075
ENTPD3,3,40387156,40428626
ENTPD5,14,73957916,74019332
CD40,20,46118242,46129745
CD40LG,23,136648177,136660390
CD44,11,35138870,35232402
CD47,3,108043094,108094200
CD48,1,160678746,160711851
CD53,1,110871167,110899936
CD58,1,116500390,116571093
CD59,11,33703010,33736479
CD63,12,55725443,55729673
CD68,17,7579487,7582111
CD69,12,9752486,9760901
CD70,19,6581646,6591152
CD72,9,35609979,35618427
CD74,5,150401637,150412936
CD79A,19,41877120,41881372
CD79B,17,63928736,63932354
CD81,11,2376177,2397419
ADGRE5,19,14381144,14408725
CD151,11,832952,838835
CDA,1,20588951,20618908
CDK1,10,60778331,60794852
CDK11B,1,1635226,1659619
LRBA,4,150264515,151015727
CDC5L,6,44387514,44450424
SEPT7,7,35800986,35915763
CDC6,17,40287878,40303161
CDC20,1,43358955,43363203
CDC25A,3,48157178,48188405
CDC25B,20,3786772,3806121
CDC25C,5,138285265,138338355
CDC27,17,47117697,47189339
CDC34,19,531720,542088
CDC42,1,22052627,22092943
CDH1,16,68737290,68835542
CDH2,18,27932878,28177446
CDH3,16,68644836,68727573
CDH4,20,61252426,61940617
CDH5,16,66366607,66404786
CDH6,5,31193655,31329146
CDH7,18,65750252,65885136
CDH8,16,61640398,62036835
CDH9,5,26880600,27038582
CDH10,5,24487100,24644978
CDH11,16,64943753,65126112
CDH12,5,21750866,22853622
CDH12P2,5,69985199,69985500
CDH13,16,82626794,83796610
CDH15,16,89171755,89195492
CDH16,16,66908122,66918984
CDH17,8,94127162,94217303
CDH18,5,19471296,20575886
CDK2,12,55966769,55972789
CDK3,17,76000906,76005999
CDK4,12,57747727,57752447
CDK5,7,151053812,151057965
CDK6,7,92604921,92836627
CDK7,5,69234795,69277430
CDK8,13,26254104,26405238
CDK9,9,127785538,127790782
CDKN1A,6,36676460,36687339
CDKN1B,12,12717270,12722383
CDKN1C,11,2883218,2885804
CDKN2A,9,21967752,21995043
CDKN2B,9,22002903,22009313
CDKN2C,1,50968695,50974637
CDKN2D,19,10566462,10568979
CDKN3,14,54396868,54420218
CDO1,5,115804733,115816708
CDR1,23,140783260,140784558
CDR2,16,22345936,22374617
CDS1,4,84582904,84651340
CDSN,6,31115088,31120475
CD52,1,26317920,26320523
CDX1,5,150166781,150184558
CDX2,13,27960918,27969368
CDX4,23,73447254,73454585
CLGN,4,140388453,140427661
CEACAM5,19,41708585,41730433
CEBPA,19,33299934,33302564
CEBPB,20,50190583,50192690
CEBPD,8,47736914,47738164
CEBPE,14,23117306,23119611
CEBPG,19,33373669,33382686
CEL,9,133061978,133071863
CELP,9,133082539,133087091
CENPA,2,26786014,26794589
CENPB,20,3783851,3786690
CENPC,4,67468762,67545538
CENPCP1,12,89499908,89503082
CENPE,4,103105806,103198409
CENPF,1,214603189,214664571
CES1,16,55802851,55833163
CETN1,18,580343,582020
CETN2,23,152827327,152830757
CETN3,5,90393335,90409786
CETP,16,56961923,56983844
CFL1,11,65854811,65858333
CFL2,14,34710382,34714823
CFL1P5,5,69312859,69313953
CTSC,11,88293592,88337787
CFTR,7,117479963,117668665
CGA,6,87085498,87095147
CGB3,19,49022869,49024375
CEACAM3,19,41796590,41811553
CEACAMP5,19,42654152,42663017
CEACAMP11,19,43283436,43284346
CEACAM7,19,41673307,41688277
CEACAM8,19,42580243,42595157
CEACAM4,19,41616986,41627087
CEACAMP1,19,42620173,42633136
CEACAMP2,19,42560437,42560795
CEACAMP3,19,41601256,41601503
CEACAMP4,19,43303202,43303498
CEACAMP6,19,42785711,42786621
CEACAMP7,19,42949503,42950415
CEACAMP8,19,43040374,43041274
CEACAMP9,19,43096449,43097360
CEACAMP10,19,43219988,43220899
CHAD,17,50464492,50469881
RCBTB2,13,48488963,48535997
CHAT,10,49609095,49665104
RCC1,1,28505943,28539196
CHD1,5,98855204,98929772
CHD2,15,92900321,93028007
CHD3,17,7884764,7912757
CHD4,12,6570082,6607439
AKR1C4,10,5196835,5218947
CHEK1,11,125624910,125676256
FOXN3,14,89156172,89619150
CHGA,14,92922594,92935293
CHGB,20,5911328,5925361
CHI3L1,1,203178931,203186794
CHI3L2,1,111227080,111243440
CHIT1,1,203216079,203229732
CHKA,11,68052859,68121391
CHKB,22,50578958,50582999
CHM,23,85861180,86047565
